,Date,RELIANCE,TATAMOTORS,UPL,PFC,BAJAJ-AUTO,HINDUNILVR,HINDALCO,WIPRO,VEDL,KOTAKBANK,ZEEL,SBIN,HDFCBANK,LT,SUNPHARMA,NTPC,INFY,ULTRACEMCO,CIPLA,POWERGRID,DRREDDY,GAIL,ADANIPORTS,ONGC,CONCOR,AXISBANK,ASIANPAINT,JSWSTEEL,BPCL,DIVISLAB,SIEMENS,M&M,TORNTPHARM,TECHM,TITAN,UBL,AMBUJACEM,GRASIM,TATASTEEL,ITC,COALINDIA,NESTLEIND,BAJFINANCE,HEROMOTOCO,IOC,BRITANNIA,MRF,TCS,HCLTECH,BHARTIARTL,ICICIBANK,MARUTI,EICHERMOT,SHREECEM,GLENMARK,INDUSINDBK,DABUR
0,22-May-2019,1340.4,179.1,1014.65,113.4,3047.2,1768.3,198.0,283.1,166.3,1495.25,342.2,341.1,2405.75,1461.1,421.2,129.6,709.75,4647.35,553.0,182.1,2657.75,336.9,385.95,177.0,484.75,779.15,1368.45,276.95,384.25,1680.2,1169.0,640.55,1559.5,749.95,1241.1,1425.1,220.55,857.35,60.85,299.75,241.25,10700.55,3448.9,2699.65,155.45,2852.65,55123.85,2081.75,1061.0,335.15,405.35,6899.8,21224.65,20207.5,570.05,1518.9,385.65
1,23-May-2019,1333.9,175.15,1012.2,111.4,3065.0,1753.85,191.75,282.2,157.35,1499.75,360.45,342.2,2332.1,1476.1,412.95,129.85,701.05,4683.95,564.75,184.65,2637.3,337.95,407.55,174.15,492.1,776.4,1367.75,275.95,384.35,1732.45,1184.8,639.5,1552.2,743.3,1220.25,1386.95,222.55,886.55,60.55,288.2,244.15,10797.05,3377.75,2743.5,154.2,2838.7,54818.3,2054.05,1066.4,338.8,410.85,6929.25,20321.15,20817.8,562.35,1598.75,385.45
2,24-May-2019,1336.85,182.3,1020.85,115.4,3077.9,1749.6,195.8,282.9,163.9,1511.7,376.85,355.35,2373.35,1544.15,415.75,129.15,709.2,4800.1,570.6,185.65,2663.9,341.65,410.25,174.4,505.55,793.2,1384.5,288.0,395.45,1765.65,1218.95,665.45,1528.45,735.85,1219.9,1422.35,231.65,910.05,62.4,290.45,244.9,10660.05,3467.9,2828.45,156.8,2851.05,57009.3,2048.0,1065.95,353.2,431.75,7093.15,20850.65,20927.2,559.0,1648.9,399.05
3,27-May-2019,1310.65,181.35,1024.45,119.1,3066.9,1771.95,200.6,280.5,166.5,1529.4,361.0,361.7,2408.35,1596.0,414.85,133.2,708.1,4841.05,578.7,187.35,2658.0,348.35,412.4,173.65,523.35,813.9,1366.85,287.75,402.0,1593.45,1277.65,679.35,1511.0,726.05,1240.95,1370.1,239.15,935.3,68.6,290.85,244.1,11036.25,3449.0,2821.2,162.2,2896.55,56862.65,2055.15,1064.2,349.5,435.5,7068.45,20887.35,21471.0,559.45,1612.8,400.1
4,28-May-2019,1323.75,180.25,1015.55,117.9,2988.0,1776.9,201.85,282.95,169.55,1511.0,381.8,360.05,2416.2,1574.5,412.75,132.6,728.1,4772.95,577.95,190.2,2651.95,348.75,412.65,175.3,525.1,808.4,1364.35,292.95,401.95,1617.85,1262.3,670.55,1523.5,737.15,1231.55,1376.45,238.4,910.95,70.55,288.9,250.7,11105.2,3409.8,2743.1,163.45,2887.0,56416.7,2073.75,1071.3,345.6,434.3,7054.65,20790.1,21651.7,557.05,1619.65,398.1
5,29-May-2019,1313.05,176.35,997.0,121.05,2925.5,1780.85,199.3,285.7,165.85,1513.9,372.55,348.65,2416.9,1552.45,423.8,130.9,727.8,4719.85,564.35,190.15,2610.75,353.75,406.55,171.55,524.55,804.7,1358.25,280.55,399.15,1589.1,1252.5,672.15,1510.95,738.85,1234.65,1361.1,233.85,910.5,66.0,288.1,250.7,11206.0,3409.25,2725.5,160.35,2917.0,55916.7,2107.55,1085.0,338.8,423.3,6891.45,20423.75,21636.85,544.6,1608.65,399.0
6,30-May-2019,1329.75,175.15,1005.85,122.95,2945.0,1784.25,198.55,288.0,164.0,1535.35,365.25,353.55,2439.55,1558.6,412.75,135.1,733.55,4758.9,561.95,191.2,2652.4,359.25,409.3,169.45,529.6,807.55,1374.6,276.6,407.65,1585.45,1299.15,661.7,1563.0,735.0,1240.6,1354.65,233.0,911.45,65.7,288.65,252.95,11320.5,3481.65,2715.2,161.95,2887.15,55185.25,2146.3,1078.2,346.7,426.2,6867.7,19891.5,21435.7,554.05,1586.9,396.35
7,31-May-2019,1330.15,172.6,998.95,124.3,2925.9,1788.5,197.0,286.4,160.55,1522.15,357.45,352.5,2425.35,1557.55,409.85,133.25,737.75,4760.1,558.85,189.3,2678.35,361.0,416.4,171.95,530.05,808.3,1407.3,271.7,409.35,1592.3,1271.8,647.05,1564.85,760.35,1235.75,1344.6,230.6,886.1,64.8,278.55,253.5,11498.1,3467.1,2680.25,165.55,2921.95,55265.1,2196.55,1092.55,348.8,423.7,6869.85,19947.75,21618.75,545.35,1605.35,395.95
8,03-Jun-2019,1360.2,174.5,1007.1,127.65,3034.6,1839.7,199.4,291.3,164.2,1531.25,359.55,355.45,2457.1,1559.4,416.8,133.1,744.65,4762.3,568.25,193.05,2724.1,357.45,424.75,172.15,530.9,812.65,1459.25,274.55,417.1,1616.25,1280.05,653.4,1537.8,757.6,1266.25,1333.5,237.15,895.05,66.7,278.55,260.9,11686.45,3511.05,2840.25,169.7,2970.2,56002.45,2242.3,1115.2,352.75,422.9,7022.9,19948.15,21877.65,546.35,1662.65,408.8
9,04-Jun-2019,1351.65,173.25,1010.95,129.65,2983.9,1815.6,197.8,293.75,165.9,1531.35,346.05,352.4,2452.3,1569.8,411.15,135.05,735.3,4692.0,562.65,192.95,2665.35,358.25,425.55,170.6,537.65,822.8,1421.5,274.2,408.35,1586.35,1267.25,650.75,1533.35,748.3,1248.0,1339.65,226.95,886.5,66.1,279.25,263.4,11552.35,3531.15,2752.7,165.35,2963.1,57382.45,2183.1,1085.85,352.4,419.1,7051.8,20043.45,21200.5,540.6,1638.0,405.55
10,06-Jun-2019,1327.35,169.7,1012.2,131.85,2991.65,1837.75,194.85,291.5,163.1,1514.25,341.05,336.9,2423.35,1515.9,404.15,136.55,735.6,4571.2,559.8,195.45,2657.3,316.3,426.3,169.4,524.35,807.7,1428.55,266.7,397.05,1580.35,1241.65,634.1,1519.1,738.0,1269.45,1315.75,221.75,869.55,64.05,275.75,269.15,11603.3,3452.95,2788.75,163.55,2901.35,55805.8,2166.1,1079.2,353.8,411.55,6988.7,20083.8,20618.4,537.9,1522.65,402.95
11,07-Jun-2019,1314.9,169.5,1019.45,134.3,2961.4,1830.75,194.8,295.05,164.2,1511.8,340.2,342.05,2447.65,1513.85,399.25,135.15,739.1,4572.85,549.5,191.75,2580.7,313.85,425.2,167.5,524.3,804.0,1418.35,262.4,403.0,1566.25,1253.25,644.05,1523.6,750.75,1268.95,1309.65,222.25,871.45,63.4,275.25,265.55,11503.85,3509.45,2762.8,163.8,2899.3,55597.5,2181.75,1079.6,357.1,416.6,6948.25,19997.75,20739.25,527.35,1552.2,404.15
12,10-Jun-2019,1319.15,166.2,1016.4,131.75,2989.8,1852.5,198.25,297.1,165.2,1502.6,335.35,344.3,2440.2,1532.1,402.05,135.0,753.5,4597.85,554.55,194.3,2629.25,307.25,425.75,164.65,533.75,814.15,1422.6,266.85,389.65,1561.05,1269.95,646.95,1521.55,768.2,1277.0,1339.55,223.1,880.95,63.2,279.4,259.3,11698.4,3519.6,2745.0,160.65,2994.3,55594.55,2231.5,1091.2,363.45,416.1,6969.95,20131.45,20807.65,533.3,1551.65,409.3
13,11-Jun-2019,1329.15,170.75,1034.5,133.4,2987.15,1839.8,199.6,297.7,169.35,1507.7,346.2,347.1,2448.4,1524.3,389.95,135.3,754.9,4584.75,559.85,193.65,2605.85,306.05,426.3,169.25,537.75,814.8,1425.5,273.35,387.0,1555.8,1270.1,636.85,1534.65,762.1,1284.95,1347.5,223.25,890.1,63.7,279.85,258.75,11622.95,3551.85,2776.15,162.5,2980.3,56197.05,2252.8,1107.9,363.25,421.35,6978.3,20132.0,20782.25,527.7,1590.6,409.75
14,12-Jun-2019,1332.15,169.05,1020.75,131.9,2944.5,1847.1,199.3,298.0,170.1,1483.5,342.85,344.0,2427.05,1509.25,391.4,134.4,753.8,4569.1,561.6,191.15,2589.7,310.1,424.95,170.85,541.4,813.55,1425.45,271.25,381.0,1534.55,1259.85,632.2,1543.7,747.95,1288.85,1357.55,220.55,888.3,65.35,279.95,257.0,11695.5,3505.85,2728.05,162.55,2996.9,55709.5,2260.9,1108.1,359.9,418.0,6852.0,20105.95,20546.05,523.2,1569.85,409.0
15,13-Jun-2019,1327.25,167.4,1005.0,133.25,2922.65,1845.5,199.65,298.4,168.45,1504.0,352.6,346.5,2444.7,1517.55,389.75,134.9,742.65,4570.2,564.6,193.85,2588.25,308.1,424.95,168.95,534.95,820.15,1429.45,274.35,388.8,1546.55,1271.0,641.05,1536.6,744.1,1295.45,1351.2,220.45,904.6,64.0,280.6,255.6,11613.75,3544.5,2705.1,160.7,2984.55,54770.95,2254.1,1100.9,363.75,419.6,6784.7,20162.05,20760.25,523.2,1488.85,409.05
16,14-Jun-2019,1317.55,164.2,1006.0,132.6,2872.55,1822.95,198.25,298.8,169.55,1473.85,336.5,343.8,2435.1,1526.3,392.55,132.75,740.45,4501.75,555.6,194.6,2565.15,308.5,426.4,169.3,537.95,801.2,1412.75,271.25,386.5,1522.3,1253.9,637.25,1495.65,740.25,1281.9,1348.1,214.2,899.0,63.6,278.05,255.15,11489.0,3518.4,2670.3,159.8,2964.1,54704.75,2254.5,1087.0,353.3,417.75,6747.4,19767.05,20463.25,525.75,1426.8,400.55
17,17-Jun-2019,1282.3,158.75,994.95,128.65,2836.2,1818.05,193.6,299.15,164.05,1460.35,338.1,337.85,2422.0,1498.75,382.9,132.25,740.55,4455.3,545.15,194.05,2554.15,305.95,422.85,164.4,529.35,777.7,1401.95,260.2,378.15,1540.5,1250.7,625.05,1498.05,736.55,1256.05,1344.75,205.6,879.35,59.15,275.0,255.3,11480.85,3466.5,2648.25,155.3,2899.2,54724.7,2249.2,1074.9,344.0,414.2,6581.65,19727.85,19991.75,520.65,1399.65,400.85
18,18-Jun-2019,1281.0,158.3,999.7,129.55,2855.6,1809.6,189.95,298.0,168.1,1461.85,339.35,340.05,2417.25,1505.3,378.45,132.4,750.15,4511.45,547.6,197.8,2591.25,308.05,421.4,166.15,527.45,775.75,1380.05,263.55,385.55,1543.0,1258.7,625.9,1511.55,741.55,1257.5,1343.15,210.0,879.65,58.8,275.1,260.35,11457.6,3509.3,2667.8,157.65,2867.25,54619.8,2250.85,1089.6,345.15,422.15,6439.0,19731.85,20538.8,527.15,1409.0,387.7
19,19-Jun-2019,1277.35,154.65,950.3,130.7,2822.9,1811.7,190.05,294.05,168.5,1497.8,353.0,338.85,2428.35,1505.15,375.2,134.65,751.9,4485.0,533.7,200.3,2550.85,307.75,407.7,167.35,531.1,770.7,1381.15,260.55,379.35,1540.4,1269.3,615.15,1498.15,735.6,1275.1,1348.85,206.45,882.05,60.8,277.2,257.05,11611.7,3525.5,2606.15,154.4,2875.7,54495.8,2259.9,1084.1,341.1,419.8,6424.65,19790.7,20438.55,509.25,1381.35,381.95
20,20-Jun-2019,1296.75,159.25,870.25,130.75,2897.3,1805.05,194.3,286.95,172.0,1518.35,351.7,345.15,2426.35,1557.1,390.5,134.55,754.9,4576.05,551.3,200.95,2564.8,311.15,401.2,172.0,545.6,771.4,1392.05,269.25,385.2,1603.0,1272.25,627.15,1503.4,725.55,1306.6,1347.5,213.7,900.8,61.8,277.0,260.35,11718.05,3582.55,2665.7,156.75,2834.05,54921.7,2277.95,1087.35,348.55,433.4,6616.75,19793.15,21199.55,517.25,1435.6,387.8
21,21-Jun-2019,1279.5,158.9,890.1,130.5,2875.55,1766.65,197.65,285.85,172.4,1489.8,345.65,349.4,2414.2,1539.75,382.8,134.55,750.2,4595.15,551.55,199.9,2551.55,311.6,402.0,170.95,553.4,771.05,1383.0,267.15,380.0,1545.75,1240.15,627.45,1500.5,740.45,1292.35,1350.65,212.85,897.75,60.65,274.25,254.25,11600.9,3565.85,2606.0,153.85,2826.7,54922.4,2249.85,1076.25,343.8,430.8,6417.25,19719.2,21154.4,499.95,1448.65,392.6
22,24-Jun-2019,1262.4,159.3,936.55,131.65,2816.9,1764.45,198.2,283.9,168.45,1470.6,341.35,353.2,2417.95,1541.0,383.45,135.6,745.5,4574.8,549.9,199.05,2513.4,306.7,406.0,165.2,553.35,762.85,1376.15,257.8,380.85,1576.3,1247.85,634.85,1512.1,728.25,1300.05,1359.95,215.0,886.65,59.8,276.25,256.75,11712.0,3545.35,2586.25,152.05,2780.5,54660.7,2275.5,1077.9,345.1,429.45,6459.9,19098.2,21081.3,461.0,1461.55,392.35
23,25-Jun-2019,1295.85,160.45,934.95,134.3,2843.7,1756.45,202.5,285.3,170.35,1483.9,343.2,356.55,2428.7,1535.0,385.75,138.45,748.1,4596.05,550.05,201.6,2536.05,309.7,405.65,166.2,554.25,781.65,1363.1,267.05,393.1,1602.4,1251.35,641.65,1546.35,724.35,1318.15,1339.6,215.15,902.15,62.35,278.5,258.35,11705.85,3579.85,2584.65,154.6,2807.7,55552.9,2267.8,1079.0,348.6,433.65,6522.5,19116.85,21589.25,455.55,1449.65,394.3
24,26-Jun-2019,1294.15,161.1,958.45,136.45,2868.7,1761.0,208.35,286.15,177.85,1490.6,342.9,358.15,2467.9,1551.2,399.45,140.05,739.2,4597.4,556.55,209.65,2578.95,309.25,414.95,167.55,568.95,788.6,1359.95,277.15,391.4,1597.95,1253.1,643.5,1545.9,718.1,1309.05,1334.5,219.35,919.15,66.2,277.4,260.3,11802.5,3627.95,2573.6,154.95,2732.9,56094.75,2254.2,1078.75,345.55,438.65,6480.3,19151.85,21860.1,453.35,1434.8,394.25
25,27-Jun-2019,1274.15,165.85,943.5,135.85,2865.85,1774.4,206.1,282.1,176.85,1481.6,343.5,362.15,2462.3,1550.9,402.8,140.15,730.55,4599.15,551.95,207.7,2565.6,306.65,406.5,170.6,569.85,800.45,1361.4,277.35,392.2,1601.8,1294.2,657.9,1529.35,701.95,1329.2,1321.65,218.45,921.8,66.95,273.5,259.4,11802.85,3642.2,2598.4,156.6,2725.9,56501.95,2252.55,1062.75,348.65,440.95,6486.7,19479.3,21887.9,448.2,1450.2,401.1
26,28-Jun-2019,1253.1,162.55,937.45,134.2,2827.05,1787.6,207.05,280.5,174.35,1477.1,338.65,361.25,2443.75,1553.2,400.95,141.35,732.0,4555.85,553.45,206.9,2550.45,311.95,410.2,167.75,570.05,808.55,1358.15,276.6,392.45,1596.95,1311.35,655.35,1547.3,706.6,1334.7,1339.0,212.85,914.1,66.1,273.85,253.8,11912.6,3681.1,2581.5,155.9,2743.7,56609.6,2227.2,1064.65,346.65,437.1,6534.65,19138.8,21820.8,443.35,1410.5,400.5
27,01-Jul-2019,1268.85,168.0,948.2,129.2,2911.95,1780.2,208.9,282.0,174.05,1481.2,358.35,361.55,2485.55,1556.65,405.35,142.55,731.3,4526.65,555.8,207.05,2654.85,312.7,413.25,161.0,578.1,810.45,1353.85,275.75,376.2,1610.2,1330.45,660.0,1552.4,704.65,1323.2,1355.2,212.95,920.0,67.55,274.95,249.25,11868.75,3699.0,2616.5,151.65,2737.55,56758.85,2239.55,1049.1,348.5,439.0,6507.85,19625.3,21469.05,441.25,1433.6,401.75
28,02-Jul-2019,1278.5,163.75,656.15,130.4,2883.55,1789.2,209.35,284.25,174.65,1471.5,356.4,364.5,2495.0,1563.85,395.55,142.95,740.0,4544.1,555.35,207.35,2627.65,311.35,414.05,165.65,579.6,802.6,1345.75,276.15,378.5,1617.25,1327.05,666.25,1552.2,711.65,1324.0,1352.45,214.95,919.8,67.45,273.85,252.7,11964.85,3711.1,2597.05,154.7,2769.25,56667.6,2252.1,1060.0,353.6,436.75,6560.0,20137.45,21551.9,440.9,1416.55,402.65
29,03-Jul-2019,1282.55,162.3,651.8,133.5,2897.75,1784.7,208.7,282.85,172.7,1475.0,360.9,366.15,2489.65,1578.05,395.7,143.25,731.3,4561.15,553.25,208.95,2596.7,305.25,414.9,166.3,576.4,806.2,1352.0,277.4,381.2,1630.6,1331.75,669.25,1552.85,701.1,1328.45,1386.6,214.95,927.9,67.6,276.7,250.95,11819.15,3715.4,2587.5,156.15,2794.7,56806.65,2237.65,1051.2,353.2,435.95,6533.8,19650.1,21486.8,443.4,1470.6,407.65
30,04-Jul-2019,1284.0,165.2,698.35,133.05,2894.8,1793.6,206.9,283.85,171.05,1497.8,356.45,367.4,2483.8,1571.7,392.1,143.45,733.8,4645.35,551.55,210.2,2602.4,307.8,414.9,167.1,573.0,808.85,1359.7,275.05,380.0,1619.8,1357.65,672.15,1545.15,700.6,1290.35,1367.85,216.1,941.6,65.05,277.65,251.1,11884.45,3732.5,2606.15,156.55,2841.35,56539.45,2242.65,1040.75,362.75,436.2,6544.45,19825.4,21605.25,440.2,1493.1,402.95
31,05-Jul-2019,1263.35,160.2,665.8,131.25,2842.55,1791.4,198.9,271.85,163.65,1517.2,345.9,370.65,2472.4,1558.35,375.25,136.5,718.0,4522.05,550.0,205.85,2600.95,306.4,402.45,161.5,575.7,806.1,1358.7,266.65,370.05,1610.8,1259.6,642.05,1525.15,681.1,1278.1,1380.8,210.2,927.05,61.15,279.45,241.9,11956.9,3719.15,2512.3,152.2,2824.85,56003.15,2163.1,1016.4,364.8,436.35,6360.0,19645.1,21366.0,430.55,1532.55,407.3
